state,sa2_code,sa2_name,unemployment_rate,unemployed_persons,labour_force
Western Australia,501021009,Collie,5.5,259,4684
Western Australia,501021010,Dardanup,1.7,37,2190
Western Australia,501021012,Eaton - Pelican Point,2.3,178,7580
Western Australia,501021014,Harvey,3.2,187,5859
Western Australia,501021015,East Bunbury - Glen Iris,4.3,187,4381
Western Australia,501021016,Waroona,5.5,130,2356
Western Australia,501021251,Dalyellup,2.6,173,6553
Western Australia,501021252,Gelorup - Stratham,1.1,22,1948
Western Australia,501021253,South Bunbury - Bunbury,2.8,215,7715
Western Australia,501021254,Withers - Usher,9.0,252,2810
Western Australia,501031017,Bridgetown - Boyup Brook,2.4,101,4196
Western Australia,501031018,Donnybrook - Balingup,2.6,91,3562
Western Australia,501031019,Manjimup,3.7,117,3203
Western Australia,501031020,Pemberton,2.8,92,3238
Western Australia,502011021,Dawesville - Bouvard,2.5,122,4883
Western Australia,502011022,Falcon - Wannanup,2.7,139,5236
Western Australia,502011023,Greenfields,5.0,230,4557
Western Australia,502011024,Halls Head - Erskine,2.0,214,10598
Western Australia,502011025,Mandurah,6.8,353,5222
Western Australia,502011026,Mandurah - East,2.7,99,3631
Western Australia,502011027,Mandurah - North,2.0,266,13535
Western Australia,502011028,Mandurah - South,5.0,266,5301
Western Australia,502011029,Pinjarra,3.2,179,5635
Western Australia,503011030,City Beach,1.1,43,3798
Western Australia,503011031,Claremont (WA),2.5,139,5623
Western Australia,503011032,Cottesloe,1.3,65,5004
Western Australia,503011033,Floreat,1.4,75,5238
Western Australia,503011034,Mosman Park - Peppermint Grove,3.7,246,6649
Western Australia,503011035,Nedlands - Dalkeith - Crawley,2.1,250,11888
Western Australia,503011036,Swanbourne - Mount Claremont,1.6,92,5717
Western Australia,503021038,Mount Hawthorn - Leederville,4.5,376,8415
Western Australia,503021039,Mount Lawley - Inglewood,4.6,545,11904
Western Australia,503021040,North Perth,3.6,253,6991
Western Australia,503021042,Subiaco - Shenton Park,3.2,375,11899
Western Australia,503021043,Wembley - West Leederville - Glendalough,3.9,519,13349
Western Australia,503021295,East Perth,5.0,517,10367
